text,label,Language,trans_lan,Translated_text
"bahya rup hal sei parisheba pradankari maanush sambandhin ek guchchha baishishtya yeman, taar juto, jamakapad, tai, gayna, chuler dharan, rupsjja, ghari, prasadhani, sugandhi, ityadi.",0,ben,"বাহ্য রূপ হল সেই পরীশেবা প্রদনকারী মানুষ সাম্বংধীন এক গুচ্ছআ বৈশীশত্য যেমান, তার জুটো, জমাকপদ, থাই, গযনা, চুলার ধরণ, রূপস্জ্জা, গরী, প্রসাধাণী, সুগান্ধী, ইত্যদী.","The individual is a group of microbes that are distributed in the form, individual, family, land, jewelry, sports, nutrition, environment, and lifestyle."
maharashtrer aurangabad jela avasthit ajanta christopoorv pratham shatabdi thek christian pancham shatabdeer bhaskarya evan chitrakla sajjit untrishti chaityas evan bihar guha royas.,0,ben,মহারাষ্ট্রের ঔরঙ্গাবাদ জেলা অবস্তীত অজন্তা ক্রিস্টোপূর্ব প্রথম শতাব্দী টেক ক্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কার্য এবান চিত্রক্লা সজ্জিত আন্ত্রিষ্টি চৈত্য এবান বিহার গুহা রযাস.,"Ajanta Caves, one of the oldest historical places in Aurangabad are known popularly for their cave paintings and Buddhist sculptures."
gayer raner sang dehrekha mishe gie ghanatber aabhas tiri kare.,0,ben,গায়ের রানের সংগ দেরেখা মিশে গি ঘনাতবর আভাস তিরি কর.,The gearshift lever carries a host of sensors and sensors to keep a tab on the surroundings.
"yekhane poorvavarti aitihya chhil kath o mati die nirman kara, ashok sekhane bhaskarya evan mahan smritistambh nirmaner kaje vapkbhave patharer vyabhhar shuru karen.",0,ben,"যেখানে পূর্ববারতী ঐতিহ্যা ছিল কথ ও মতি দি নির্মাণ কারা, অশোক সেখানে ভাস্কার্য এবান মহান স্মৃতিস্তম্ভ নির্মানের কাজে ভাপক্ভাবে পাথরার ব্যভ্হার শুরু কারেন.","While the former is an ancient dynasty, the latter is an ancient sculptors and a sculpture that is built with traditional materials."
"alute masala makhie, fetano basena chubie nie dubo tele bhaja yatakshan na bhalo kare bhaja hachche, tiri kara has maharashtrer ei suswadu o janapriya khavarer pad.",0,ben,"অযালুটে মসলা মাখি, ফেটানো বাসেনা চুবি নি দুবো টেলি ভাজা যাতক্ষণ না ভালো কর ভাজা হাচ্চে, তিরি কারা হস মহারাষ্ট্রের এই সুস্বাদু ও জনাপ্রিযা খাভারার পদ.","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra."
"chettinad randhanpranali halo tamilnadu rajyer chettinad anchaler nattukotai chettiyar, athva tader nijeder dewa naam anuyayi nagarattar named ekati sampradayer ek randhanpranali.",0,ben,"চেট্টিনাড় রণধন্প্রনালী হলো তামিলনাড়ু রাজ্য়ের চেট্টিনাড় আঁচলের নাট্টুকোটাই চেট্টিয়ার, অঠবা তাদার নিজেদর দেওয়া নাম অনুযাযী নাগরত্তর নামেদ একাতি সংপ্রদায়ের এক রণধন্প্রনালী.","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state."
daruchini bharte mulvave upadit evan era vyabhhar gandhvisisht dravya thek aarmbh kare aushadhi dravya hiseve has.,0,ben,দারুচিনী ভার্তে মুলভাবে উপদিত এবান এর ব্যভ্হার গান্ধ্বীশিষ্ট দ্রব্য টেক আরম্ভ কর ঔশধী দ্রব্য হিসেভ হস.,Medium & long-term loans for agriculture are assuming greater importance in the economy.
ei sabguloke ekata shukno jantakal baa shilnora gundo karun.,0,ben,এই সব্গুলোক একতা শুকনো জন্তাকাল বা শিলনোরা গুন্ডো করুন.,These are made of a mix of red rice and pulses.
"panjaber ekecti shahrer pachand ekek rakamer, yeman amritsarer lokera amritsari kulcha, purbhra paratha evan dugdhajat panya beshi pachand kare.",0,ben,"পাঞ্জাবর একেক্তি শাহরার পাচংদ একেক রকামের, যেমান অমৃতসরের লোকেরা অমৃতসরী কুলচা, পূর্ভরা পরোটা এবান দুগ্ধাজাত পান্যা বেশী পাচংদ কর.","The Amritsari cuisine is the cuisine of a variety of dishes, including Amritsari kulche, stuffed paranthas and milk products."
ramka ei rushir sang pathan evan lakshmanakeo pathan.,0,ben,রামকা এই রুশির সংগ পাঠন এবান লক্ষ্মণকেও পাঠন.,"Send Rama with the sage, and send Lakshmana too."
