iter	MultiClass
0	2.223761888
1	2.133931039
2	2.060885358
3	2.00049442
4	1.947973357
5	1.906215986
6	1.865083788
7	1.825872091
8	1.79852352
9	1.767469909
10	1.740718284
11	1.72095459
12	1.697783819
13	1.677393927
14	1.657421337
15	1.641854187
16	1.624892096
17	1.607606306
18	1.594234685
19	1.577759989
20	1.564122531
21	1.549530048
22	1.539365281
23	1.525825859
24	1.510629824
25	1.498054638
26	1.486888709
27	1.478084981
28	1.467372443
29	1.457818589
30	1.446770009
31	1.438822927
32	1.428519552
33	1.420008983
34	1.411739339
35	1.404831109
36	1.395394689
37	1.385526934
38	1.376842367
39	1.369349493
40	1.362487168
41	1.355046846
42	1.344083551
43	1.33766986
44	1.331294879
45	1.323574054
46	1.317413015
47	1.309501227
48	1.304432291
49	1.297242066
50	1.290994597
51	1.285020421
52	1.279427973
53	1.274598814
54	1.268960037
55	1.262640666
56	1.256948566
57	1.251088654
58	1.245871583
59	1.240420479
60	1.235274179
61	1.23190396
62	1.228311599
63	1.224664914
64	1.220917735
65	1.215984993
66	1.212260852
67	1.205265133
68	1.201952924
69	1.198307766
70	1.193112542
71	1.187590507
72	1.183321653
73	1.179410349
74	1.175932526
75	1.171195717
76	1.167526164
77	1.163770469
78	1.15991217
79	1.156618291
80	1.151817299
81	1.148943781
82	1.144989189
83	1.141787947
84	1.139047573
85	1.135599592
86	1.131142357
87	1.127379619
88	1.124086464
89	1.120201514
90	1.116876509
91	1.113419612
92	1.110885659
93	1.107162392
94	1.103336742
95	1.098999907
96	1.095861976
97	1.093195971
98	1.089260374
99	1.086538761
100	1.08296998
101	1.07976357
102	1.077143118
103	1.074623236
104	1.071861774
105	1.069257012
106	1.066769379
107	1.06373348
108	1.060804946
109	1.05728196
110	1.054452283
111	1.052084123
112	1.049611706
113	1.047347823
114	1.044016659
115	1.041585068
116	1.038019705
117	1.03575223
118	1.03326385
119	1.030130218
120	1.027002995
121	1.024889739
122	1.022537997
123	1.020336385
124	1.018213286
125	1.0145288
126	1.012395041
127	1.009150004
128	1.007316612
129	1.004600549
130	1.002590003
131	1.000420235
132	0.9985804347
133	0.9967130624
134	0.9944129928
135	0.9924744598
136	0.9907684151
137	0.9863159451
138	0.9842945637
139	0.9822426003
140	0.9802899469
141	0.9782862118
142	0.9759124471
143	0.9732203834
144	0.9713402535
145	0.9697806434
146	0.9671059953
147	0.9652990039
148	0.9630394305
149	0.9597533752
150	0.9583578691
151	0.9567126422
152	0.9550556575
153	0.9535417633
154	0.9518892036
155	0.9502910677
156	0.9487319719
157	0.9467032497
158	0.9455359188
159	0.9442962504
160	0.9413362811
161	0.9397387306
162	0.9381696031
163	0.9367543342
164	0.9354434644
165	0.9337944633
166	0.9323849877
167	0.9309733567
168	0.92959817
169	0.9281758934
170	0.9255585845
171	0.9237873248
172	0.9223433443
173	0.9206709878
174	0.91917501
175	0.9179486754
176	0.9165898078
177	0.9153647936
178	0.9139242823
179	0.9128657002
180	0.911636959
181	0.9103227971
182	0.9090639462
183	0.9079679679
184	0.9066462181
185	0.9049852042
186	0.903674227
187	0.9020015662
188	0.9003906496
189	0.898958059
190	0.8978954407
191	0.8957040645
192	0.8933880642
193	0.8920328651
194	0.8905521936
195	0.8892710919
196	0.8877895961
197	0.8866878635
198	0.8852216737
199	0.8841170252
200	0.8829978741
201	0.8819124858
202	0.8803221754
203	0.8789580711
204	0.8776822245
205	0.8766968838
206	0.8755421025
207	0.8743509101
208	0.8734051943
209	0.8722238126
210	0.8712117951
211	0.869983786
212	0.8688404192
213	0.8675235866
214	0.8666364698
215	0.8656106332
216	0.8646601502
217	0.8617019907
218	0.8606612188
219	0.8595208151
220	0.8582580424
221	0.8573862949
222	0.8564005065
223	0.855647895
224	0.8546378453
225	0.8532325441
226	0.8523295924
227	0.8512758245
228	0.8505741801
229	0.8489676835
230	0.8475416164
231	0.8461177652
232	0.8450336317
233	0.8436642242
234	0.842064475
235	0.8412661793
236	0.8398599555
237	0.8386890436
238	0.8379774988
239	0.8369380767
240	0.8361497209
241	0.8351971204
242	0.8332944913
243	0.8322754313
244	0.8313574149
245	0.8276488062
246	0.8267044148
247	0.8259313269
248	0.8250573453
249	0.8238823671
250	0.8231337228
251	0.8224538228
252	0.8216508902
253	0.820896195
254	0.8190737156
255	0.8183475605
256	0.8176222404
257	0.8169239998
258	0.8160731953
259	0.8153968944
260	0.8145547689
261	0.8135269919
262	0.8128906198
263	0.8123190277
264	0.8117080885
265	0.8108430306
266	0.8102933983
267	0.8096398293
268	0.8086294521
269	0.8078353252
270	0.807096259
271	0.8051912111
272	0.8047111242
273	0.8040727235
274	0.8027508638
275	0.8020609526
276	0.8013331899
277	0.8004308762
278	0.7994340449
279	0.7986826876
280	0.7981755497
281	0.7973982129
282	0.7963039873
283	0.7956794227
284	0.7950619413
285	0.7944611793
286	0.7937891777
287	0.7928079294
288	0.7919987982
289	0.7912628428
290	0.7905170856
291	0.7898463949
292	0.7890831783
293	0.7882690727
294	0.7876994328
295	0.7868496531
296	0.7857072358
297	0.7850743213
298	0.7845557684
299	0.7830787621
300	0.7821116232
301	0.7815855519
302	0.7805192226
303	0.7799578818
304	0.779003473
305	0.7783658941
306	0.7776608615
307	0.7770751106
308	0.7764066077
309	0.7757670746
310	0.7752879432
311	0.774675825
312	0.7740705723
313	0.7733840362
314	0.7726820999
315	0.7721725312
316	0.7716208153
317	0.7709272383
318	0.7704614076
319	0.7697769292
320	0.7690567888
321	0.7674091531
322	0.7668951315
323	0.766330568
324	0.7654222164
325	0.764548603
326	0.7641235726
327	0.7635392282
328	0.7629700386
329	0.7624667033
330	0.7619958567
331	0.7613949289
332	0.7609106641
333	0.7604965645
334	0.7597376681
335	0.7591700589
336	0.7585808143
337	0.7580539685
338	0.7575376095
339	0.7561088012
340	0.7557079917
341	0.7553212072
342	0.7546422767
343	0.7539020801
344	0.7534539094
345	0.7530062165
346	0.7523046873
347	0.7516053723
348	0.7509174541
349	0.7502324522
350	0.7499240143
351	0.7494448277
352	0.7486492814
353	0.7480654428
354	0.7476938025
355	0.7472187398
356	0.7466574495
357	0.7460794402
358	0.7455690018
359	0.7450065228
360	0.744540513
361	0.7435332472
362	0.7431115234
363	0.7427568302
364	0.7423656523
365	0.7414907435
366	0.7410723733
367	0.7400899007
368	0.7396662129
369	0.7384643935
370	0.7381575048
371	0.7376140938
372	0.7369749894
373	0.7364640171
374	0.7357760615
375	0.7353172078
376	0.7346253395
377	0.7341970242
378	0.7337118326
379	0.7330280268
380	0.7324309609
381	0.7319400017
382	0.7316341879
383	0.731190645
384	0.7308391995
385	0.7301734064
386	0.7297889942
387	0.7293536428
388	0.7289425859
389	0.7282746524
390	0.7278308643
391	0.7275297369
392	0.7269361575
393	0.7265118953
394	0.7261683121
395	0.7258426314
396	0.7254764184
397	0.7242202985
398	0.7230766841
399	0.7224545682
400	0.7219809817
401	0.7210921892
402	0.7191942952
403	0.7184966469
404	0.7181153879
405	0.7176963911
406	0.7172402514
407	0.7169569896
408	0.7162929728
409	0.7159737165
410	0.7155571646
411	0.7149455075
412	0.7145628303
413	0.7142387481
414	0.7138841282
415	0.7134482219
416	0.7130978284
