,text,Language,Language_index
0,seta to khubi bhaal have!,ben,0
1,m mase kono ullekhayogya tapapravaher dasha anubhav kara yyani.,ben,0
2,ei sabkatai darun lagno shunate.,ben,0
3,"tar prabandh, ya ki na tar agami bayer ekati uddhrutansh shoshankari chalachchitrer antarbhom vishwer ekati spost chhabi pradaan kare.",ben,0
4,"bartaman mammla, njity taar ekhtiar parityag kareque evan ekati viseshx prashasonic comiti upare bichaarasankrant karmkander bhaar nyast kareque.",ben,0
5,bharatvarsh halo vishal baichitrya evan baiparityer desh.,ben,0
6,"tahale, katakshaner path?",ben,0
7,"yaihok, bazarguli aapnar bikri vruddhite sahayak also, seguli ekati techsi vyavasa garh tulte evan aapnar nijasv bazaryogya brand sristir sahayak naya.",ben,0
8,kintu aapnake etao nischit karte have yate o byre ya evan anaya bachchader saathe khele.,ben,0
9,"kintu, besamrik parishebaguli, pulish evan sena chhil musalmnder nickktar sanrakshan.",ben,0
10,karte have! aami chai ei abhijeetata ekadam aladai hok.,ben,0
11,tara kii kii pradarshan kare?,ben,0
12,nishchalai anek daam padese.,ben,0
13,"han, drushyati khubi nrushans aar baparta hachche ye eta vastav ghatnar upar vitti kare tiri kara yar janya dekhata aro kathin hay the, abhinaya kara to sede dao.",ben,0
14,"aamir khan, yini era ag kakhano tar abhinaya jivan kono chhabir punrnirman karennie, prathamta sanshayapann chhillen chhabita kara nie, kintu tamil chhabi 'ghajani'-r asal abhineta surya, yini tanke balesillen, ""ekamatra tumii ei charitrer prati nyaibichaar karte parve"", sekatha shune trini ashvast han.",ben,0
15,"han, aami seconds yar parchi.",ben,0
16,"achha, eta kaaj haoya uchit.",ben,0
17,aami itimadhyei ei jyagagulo sampark anek padhesi aar agerbar amar aurangabad yawar samay chhil na.,ben,0
18,"ei shlokaguli madhye koekatite udghatner dharnti ullikhit ach, yeti halo jarathushtrer madhye shuddh manser pravesh evan manabjatike trini kii balben ta bale dewa.",ben,0
19,"bhalo samajik maryadasampann ingrej mahilara chhillen viral; shalyachikisak jan stuart 1785-te kanpur thek tar vaike lekhen: ""ekhankar mahilader aneke ladgate hiler mahilader tupi presentakari dokan thek evan keu keu to kavent garden evan old druri [18m shatabdeer shesher dike london patitavrittir suparichit elaka] thek aasa duhsahasini matra.""",ben,0
20,yate tumi beshi kare relax karte paro.,ben,0
21,yaoyar path ki amra chhabi tola chada aar kichu karte pari?,ben,0
22,okhankar islami sthapatya keman?,ben,0
23,bai!,ben,0
24,"shubh din, bhadramahodaya, artist's galariate aapnake swagatam!",ben,0
25,era madhye tomar pachhandai baa ki has?,ben,0
26,charti mul prastab chhil evan bivinn kshetre unnayaner agragati sang sang chudanta vyabaharguli paka kara have.,ben,0
27,british raza pratikruti pratisthapit karesil ashoker singh rajdhani.,ben,0
28,sab abhijetakei amra baliuder sang tulana kari.,ben,0
29,han aar eusos hal smacdown tag daler champiyan evan ark-bro hal r tag daler champiyan.,ben,0
30,vyaktigatvave shakha yawar prayojan ach ki?,ben,0
31,2006-era ekati kamanwealth gams evan 2010 o 2014-r du'ti eshian gemse bhartiya jatiya daler pratinidhitbakari pratham mahila basketball khelowar trini.,ben,0
32,evan 21ta gaan salut die rashtrapatike samrik abhivadan janano hayes.,ben,0
33,"udaharanswarup, siman blackbern evan jegawan kim dwara pradutt sangyatii halo jan palkinhorn-era paribhasha 'dharnamulak' athva 'gyantattvik' khandtabad: sei dharner khandtabad yeti ek dharner adhivachaner sang yukt tathy athva astitvagulike anaya dharan thek grihith anyanya tathy athva astitva die pratisthapit karaar caryakramer sang samparkit haowar fale tader madhye ekati sampark sthapan kare.",ben,0
34,"na, eta snatak o snatkottar stare carigari evan peshajanit corsegulikeo kabhar karbe.",ben,0
35,"ei prakriar vishad bivaran amader hiseber notevite pawa yave, daya kare eta dekun.",ben,0
36,"aakarshanasamuh, thakar vyavastha, sahayogi suyog-suvidha evan parikaamo halo paryatner mul upadan.",ben,0
37,hum...tahale thukapata keman have?,ben,0
38,taka tolar paddhati ki seta aami thik janina.,ben,0
39,1999-e motamuti 16 laksh paryatak cuba bhraman gie mott praia 190 koti dollar rajasav upadan karen bale cubar aadhikarikder anuman.,ben,0
40,"amar bandhavi taar border pariksha satyii bhalo karesil, tai yekono yogyata-vittik praveshikate se tekka dite parve.",ben,0
41,"197-era gazette bijdhpti jana ye, 2020-r madhye deshiya shabakder hay giesil.",ben,0
42,apnader gram ekhano percent conoo paridarshan hoyni?,ben,0
