Comment,Language_Index,Language
"sidny opera houser ashpashe thaka suijarlander pratinidhitbakari brijit macmohan desher visesh suvidhaprapth kridavidder yeman rupo jayi misheli jonske santar, cychel chalna evan daude prajeet kare ei kridda pratham sonar padak jitechillen.",0,ben
"con jivanu upar kaaj karbe sei anuyayi aigulo anti-viral, anti-fungal, anti-protoboal evan antibiotic hiseve vibhajit.",0,ben
bharter drut arth lenden vyavastha- upiai-ke anyanya kshetrer anurup vyavasthar sang samyukta karaar pashapashi bharter arth lenden vyavasthagulike anyanya kshetrer sang samyukta karaar sambhabanati arth preran sah antasimant arth lenden vyavasthagulike unnat kare tulbe.,0,ben
"fasal-poorvavarti evan fasal-paravarty caryakramer janya runer madhye tader nijasv fasle kittnashak chhadano, nidan dewa, fasal tola, bachai, jharai evan paribahan antarbhukt thake.",0,ben
maldwar parikshar paddhati ekati drut paddhati (ekajan abhijee vyakti 12 minute samay neya).,0,ben
yeta bhavishyate toma sahayya karbe.,0,ben
anaya kono buthei tumi bhotere yogyata pave na.,0,ben
"ei sanghmaitri britanner banigyik jahajanirmatader kach thek anekguli yudajahaz (si.es.es alabama, si.es.es shenandoya, si.es.es tenesi, si.es.es talhasi, si.es.es florida, evan anyanya) kens.",0,ben
aami ekati dhara begue newa nie khubi dvidhagrast.,0,ben
"oh, tai?",0,ben
"lajar die graficke vashpibhoot kare sei bashptike ek hilliam bayumandal sheethal karaar pariksha, 1984-te pratham carboner guchchha sanakt karen erick e. ralphing, donald em. kax evan andrw caldor.",0,ben
"chalachchitra hal trimatrik prithvir ekata dwi-matrik projekashan, ya amader shona evan dekhar duto bodhake niwe jarit.",0,ben
"han, ei vimata tader network hospitaler madhyam hospitale nagadchada admishner suvidha deya.",0,ben
"oh, eta to khub gurutar baper.",0,ben
"han, ectuo khali samay pelei karchi.",0,ben
"use aadhan evan vidyupravah thek vikirna has, seguli upare kono ""pratikria"" prabhava nei, evan bartaman samay seguli dwara pratyakshbhave prabhavit has na (varang atite seguli thek vikirna kshetrer paribartansmuher anukram thek parokshabhave upadit has eti) bale vidyupravah evan aadhan (us) thek bahu durer kono tadi-chumbakian kshetrake tadi-chumbakian bikiran (iemar) bale.",0,ben
